Radius,FlowRate_kbps,FlowID,Src,Dst,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,Delay_ms,Jitter_ms
5,250,1,10.1.1.1,10.1.1.13,6591,6575,16,99.76,303.97,2.56,0.68
10,250,1,10.1.1.1,10.1.1.13,6591,2450,1944,37.17,205.73,354.12,7.30
15,250,1,10.1.1.1,10.1.1.13,6591,65,4329,0.99,20.95,828.62,27.56
20,250,1,10.1.1.1,10.1.1.13,6591,2146,3906,32.56,96.64,552.64,41.75
25,250,1,10.1.1.1,10.1.1.13,6591,2850,3116,43.24,128.22,609.48,83.10
30,250,1,10.1.1.1,10.1.1.13,6591,2481,3390,37.64,112.08,634.92,93.99
35,250,1,10.1.1.1,10.1.1.13,6591,2895,3013,43.92,129.79,581.44,84.73
40,250,1,10.1.1.1,10.1.1.13,6591,2941,2952,44.62,133.29,525.88,60.61
45,250,1,10.1.1.1,10.1.1.13,6591,2604,3423,39.51,117.05,582.59,65.93
50,250,1,10.1.1.1,10.1.1.13,6591,3006,2872,45.61,136.25,552.09,67.32
55,250,1,10.1.1.1,10.1.1.13,6591,3123,2821,47.38,141.03,571.95,93.62
60,250,1,10.1.1.1,10.1.1.13,6591,2827,3051,42.89,128.06,523.21,55.61
65,250,1,10.1.1.1,10.1.1.13,6591,0,6527,0.00,0.00,0.00,0.00
70,250,1,10.1.1.1,10.1.1.13,6591,0,6527,0.00,0.00,0.00,0.00
75,250,1,10.1.1.1,10.1.1.13,6591,0,6527,0.00,0.00,0.00,0.00
