GridSpacing,FlowRate_kbps,FlowID,Src,Dst,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,Delay_ms,Jitter_ms
5,100,1,10.1.1.1,10.1.1.25,2636,2636,0,100.00,121.90,4.01,0.16
5,200,1,10.1.1.1,10.1.1.25,5273,5075,198,96.25,234.61,8.25,0.63
5,300,1,10.1.1.1,10.1.1.25,7910,2670,3274,33.75,140.16,441.12,8.81
5,400,1,10.1.1.1,10.1.1.25,10546,3529,5538,33.46,158.54,483.57,13.23
5,500,1,10.1.1.1,10.1.1.25,13183,2066,7589,15.67,105.09,504.00,18.59
5,600,1,10.1.1.1,10.1.1.25,15820,3965,9706,25.06,176.74,477.39,10.27
5,700,1,10.1.1.1,10.1.1.25,18457,3814,12280,20.66,171.43,473.67,10.34
5,800,1,10.1.1.1,10.1.1.25,21093,3860,14126,18.30,177.81,485.69,18.99
5,900,1,10.1.1.1,10.1.1.25,23730,3450,14914,14.54,154.44,506.53,11.30
5,1000,1,10.1.1.1,10.1.1.25,26367,3584,18585,13.59,160.92,541.41,38.41
